municipio,nombre_ied,tope_residuo,tope_necesidades_docentes,tope_jornada_unica,tope_adultos,tope_total
ALGARROBO,INSTITUCION EDUCATIVA DEPARTAMENTAL ALGARROBO,9,116,75,40,240
ALGARROBO,INSTITUCION EDUCATIVA DEPARTAMENTAL LOMA DEL BALSAMO,18,191,220,120,549
ALGARROBO,INSTITUCION EDUCATIVA DEPARTAMENTAL RAFAEL NUÑEZ,6,170,0,200,376
ARACATACA,INSTITUCION EDUCATIVA DEPARTAMENTAL ELVIA VIZCAINO DE TODARO,8,507,0,300,815
ARACATACA,INSTITUCION EDUCATIVA DEPARTAMENTAL ETNOEDUCATIVO Y PLURICULTURAL GUMMAKU,0,160,140,0,300
ARACATACA,INSTITUCION EDUCATIVA DEPARTAMENTAL FOSSY MARCOS MARIA,20,169,70,200,459
ARACATACA,INSTITUCION EDUCATIVA DEPARTAMENTAL GABRIEL GARCIA MARQUEZ DE ARACATACA,10,116,0,40,166
ARACATACA,INSTITUCION EDUCATIVA DEPARTAMENTAL JOHN F. KENNEDY,16,179,110,280,585
ARACATACA,INSTITUCION EDUCATIVA DEPARTAMENTAL RURAL DE BUENOS AIRES,10,55,0,300,365
ARIGUANÍ,INSTITUCION EDUCATIVA DEPARTAMENTAL LICEO ARIGUANI,22,110,257,160,549
ARIGUANÍ,INSTITUCION EDUCATIVA DEPARTAMENTAL SIMON BOLIVAR,10,468,299,60,837
ARIGUANÍ,INSTITUCION EDUCATIVA DEPARTAMENTAL TECNICA AGROPECUARIA BENJAMIN HERRERA,12,217,132,160,521
ARIGUANÍ,INSTITUCION EDUCATIVA DEPARTAMENTAL TECNICA AGROPECUARIA CARMEN DE ARIGUANI,0,72,35,20,127
CERRO SAN ANTONIO,CENTRO EDUCATIVO DEPARTAMENTAL SAN ANTONIO,18,0,0,20,38
CERRO SAN ANTONIO,INSTITUCION EDUCATIVA DEPARTAMENTAL DE BASICA Y MEDIA SAN ANTONIO,18,179,0,0,197
CHIVOLO,INSTITUCION EDUCATIVA DEPARTAMENTAL SANTA ROSA DE LIMA,0,0,0,0,0
CHIVOLO,INSTITUCION EDUCATIVA DEPARTAMENTAL TECNICA FRANCISCO JOSE DE CALDAS,2,224,180,100,506
CHIVOLO,INSTITUCION EDUCATIVA TECNICA DEPARTAMENTAL LICEO SANTANDER,4,271,45,120,440
CHIVOLO,INSTITUCION EDUCATIVA TECNICA DEPARTAMENTAL SAN JUDAS TADEO,1,538,0,180,719
CONCORDIA,INSTITUCION EDUCATIVA DEPARTAMENTAL DE BASICA Y MEDIA DE CONCORDIA,6,44,0,120,170
CONCORDIA,INSTITUCION EDUCATIVA DEPARTAMENTAL DE BASICA Y MEDIA SANTA CRUZ DE BALSAMO,12,0,0,0,12
CONCORDIA,INSTITUCION EDUCATIVA DEPARTAMENTAL JOSEFA MARIA ROMERO DE LA CRUZ,8,64,0,20,92
CONCORDIA,INSTITUCION EDUCATIVA DEPARTAMENTAL LUZ MARINA CABALLERO,8,22,0,60,90
EL BANCO,INSTITUCION EDUCATIVA DEPARTAMENTAL ANAXIMENES TORRES OSPINO,0,179,0,140,319
EL BANCO,INSTITUCION EDUCATIVA DEPARTAMENTAL ARCESIO CALIZ AMADOR,2,423,0,40,465
EL BANCO,INSTITUCION EDUCATIVA DEPARTAMENTAL ELECTO CALIZ MARTINEZ,4,89,0,40,133
EL BANCO,INSTITUCION EDUCATIVA DEPARTAMENTAL GILBERTO ACUÑA RANGEL,4,116,0,20,140
EL BANCO,INSTITUCION EDUCATIVA DEPARTAMENTAL JOSE BENITO BARROS PALOMINO,18,210,10,0,238
EL BANCO,INSTITUCION EDUCATIVA DEPARTAMENTAL JOSE DE LA PAZ VANEGAS ORTIZ,12,90,0,40,142
EL BANCO,INSTITUCION EDUCATIVA TECNICA DEPARTAMENTAL LORENCITA VILLEGAS DE SANTOS,4,894,385,760,2043
EL BANCO,INSTITUCION EDUCATIVA DEPARTAMENTAL OSCAR PISCIOTTI NUMA,21,155,0,80,256
EL BANCO,INSTITUCION EDUCATIVA DEPARTAMENTAL PABLO NIEBLES DE GUAYABAL,18,44,0,60,122
EL BANCO,INSTITUCION EDUCATIVA DEPARTAMENTAL ROBERTO ROBLES DE ALGARROBAL,12,69,0,40,121
EL BANCO,INSTITUCION EDUCATIVA DEPARTAMENTAL RURAL ENRIQUE QUINTERO JAIMES,6,50,154,40,250
EL BANCO,INSTITUCION EDUCATIVA DEPARTAMENTAL RURAL RITA CUELLO DE VANEGAS,18,85,0,0,103
EL BANCO,INSTITUCION EDUCATIVA DEPARTAMENTAL RURAL SILVIA COTES DE BISWELL,9,45,0,100,154
EL BANCO,INSTITUCION EDUCATIVA DEPARTAMENTAL SANTA TERESA DE JESUS,14,444,0,120,578
EL BANCO,INSTITUCION ETNOEDUCATIVA DEPARTAMENTAL MITSILOU CAMPBELL,12,100,223,140,475
EL PIÑON,INSTITUCION EDUCATIVA DEPARTAMENTAL AGRICOLA DEL PIÑON,8,185,0,60,253
EL PIÑON,INSTITUCION EDUCATIVA DEPARTAMENTAL DE CARRETO,2,110,0,0,112
EL PIÑON,INSTITUCION EDUCATIVA DEPARTAMENTAL RURAL CANTAGALLAR,18,25,10,40,93
EL PIÑON,INSTITUCION EDUCATIVA DEPARTAMENTAL SABANAS,14,22,45,0,81
EL RETÉN,INSTITUCION EDUCATIVA DEPARTAMENTAL EUCLIDES LIZARAZO,0,88,35,160,283
